City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
178,Yantal,RU,56.8471,105.2542,42.48,96,99,4.72,overcast clouds,2022-04-30 19:33:17
179,Barstow,US,34.8986,-117.0228,83.16,9,0,10.31,clear sky,2022-04-30 19:33:19
180,Cape Town,ZA,-33.9258,18.4232,60.28,79,0,4.61,clear sky,2022-04-30 19:32:10
181,Birin,NP,26.8865,88.0718,57.6,82,100,6.22,overcast clouds,2022-04-30 19:33:19
182,Southbridge,US,42.0751,-72.0334,61.86,37,100,4.0,overcast clouds,2022-04-30 19:32:59
183,Ukiah,US,39.1502,-123.2078,68.43,65,100,9.22,overcast clouds,2022-04-30 19:32:09
184,Presidente Medici,BR,-11.1753,-61.9014,84.97,75,100,2.06,overcast clouds,2022-04-30 19:33:21
185,Touros,BR,-5.1989,-35.4608,80.98,71,15,15.46,few clouds,2022-04-30 19:33:22
186,Pisco,PE,-13.7,-76.2167,72.01,64,0,10.36,clear sky,2022-04-30 19:34:24
187,Grieskirchen,AT,48.2333,13.8333,54.46,96,100,9.69,overcast clouds,2022-04-30 19:34:24
188,Evensk,RU,61.95,159.2333,31.32,65,13,8.43,few clouds,2022-04-30 19:34:25
189,Ribeira Grande,PT,38.5167,-28.7,64.8,82,20,11.5,few clouds,2022-04-30 19:34:25
190,Zhuzhou,CN,27.8333,113.15,55.53,95,100,6.46,overcast clouds,2022-04-30 19:34:26
191,Kuytun,RU,54.3419,101.5036,48.33,82,78,6.93,broken clouds,2022-04-30 19:34:27
192,Namibe,AO,-15.1961,12.1522,74.95,81,38,7.36,scattered clouds,2022-04-30 19:34:27
193,Bousso,TD,10.4795,16.7117,93.76,28,26,3.04,scattered clouds,2022-04-30 19:34:28
194,San Patricio,US,28.017,-97.5169,86.09,62,95,16.4,overcast clouds,2022-04-30 19:34:28
195,Hamilton,US,39.1834,-84.5333,71.73,75,75,12.66,broken clouds,2022-04-30 19:30:29
196,Tautira,PF,-17.7333,-149.15,79.92,75,58,14.34,light rain,2022-04-30 19:34:29
197,Chegdomyn,RU,51.1167,133.0167,27.95,90,56,2.62,broken clouds,2022-04-30 19:34:30
198,Talnakh,RU,69.4865,88.3972,18.21,98,100,7.76,overcast clouds,2022-04-30 19:34:30
199,Fondi,IT,41.3541,13.4313,60.82,66,42,4.97,scattered clouds,2022-04-30 19:34:14
200,Coquimbo,CL,-29.9533,-71.3436,58.73,77,20,12.66,few clouds,2022-04-30 19:34:31
201,San Borja,BO,-14.8167,-66.85,85.46,56,3,1.23,clear sky,2022-04-30 19:34:32
202,Puerto Ayora,EC,-0.7393,-90.3518,80.56,78,89,8.7,overcast clouds,2022-04-30 19:33:06
203,Verkhnevilyuysk,RU,63.4453,120.3167,36.54,97,100,7.07,overcast clouds,2022-04-30 19:34:32
204,Salamiyah,SY,35.0113,37.0532,64.53,71,1,15.68,clear sky,2022-04-30 19:34:32
205,Mamallapuram,IN,12.6264,80.1722,86.05,85,0,13.4,clear sky,2022-04-30 19:34:33
206,Khatanga,RU,71.9667,102.5,3.4,99,92,7.54,overcast clouds,2022-04-30 19:30:13
207,Kupang,ID,-10.1667,123.5833,77.27,86,9,6.58,clear sky,2022-04-30 19:34:34
208,Cherskiy,RU,68.75,161.3,9.81,93,80,4.63,broken clouds,2022-04-30 19:34:34
209,Kungurtug,RU,50.5994,97.5228,40.33,62,100,2.1,overcast clouds,2022-04-30 19:34:35
210,Pevek,RU,69.7008,170.3133,1.87,98,100,4.94,overcast clouds,2022-04-30 19:30:49
211,Waddan,LY,29.1614,16.139,82.36,15,65,22.93,broken clouds,2022-04-30 19:34:36
212,Leh,IN,34.1667,77.5833,43.25,65,93,2.73,overcast clouds,2022-04-30 19:34:36
213,Pangnirtung,CA,66.1451,-65.7125,23.0,80,100,2.3,overcast clouds,2022-04-30 19:30:16
214,Praia,CV,14.9215,-23.5087,73.94,68,20,23.02,few clouds,2022-04-30 19:34:37
215,Ayan,RU,56.45,138.1667,32.22,93,100,6.93,overcast clouds,2022-04-30 19:34:37
216,Nizhneangarsk,RU,55.7833,109.55,35.01,94,100,0.76,overcast clouds,2022-04-30 19:34:38
217,Vanimo,PG,-2.6741,141.3028,76.73,86,97,3.36,overcast clouds,2022-04-30 19:34:39
218,Barrow,US,71.2906,-156.7887,17.62,79,20,13.8,haze,2022-04-30 19:34:39
219,Tay Ninh,VN,11.3,106.1,79.29,83,100,5.88,overcast clouds,2022-04-30 19:34:40
220,Elat,IL,29.5581,34.9482,82.24,28,0,18.41,dust,2022-04-30 19:34:40
221,Kamsack,CA,51.5667,-101.9009,49.71,66,100,14.32,overcast clouds,2022-04-30 19:34:41
222,Rafai,CF,4.95,23.9167,67.6,97,100,1.9,light rain,2022-04-30 19:34:41
223,Buhovo,BG,42.7667,23.5667,51.57,71,40,6.91,scattered clouds,2022-04-30 19:34:42
224,Deputatskiy,RU,69.3,139.9,6.98,86,24,2.84,few clouds,2022-04-30 19:34:43
225,Harper,LR,4.375,-7.7169,81.01,79,100,7.61,overcast clouds,2022-04-30 19:34:43
226,Naze,JP,28.3667,129.4833,63.52,75,100,12.93,overcast clouds,2022-04-30 19:34:44
227,Sangar,RU,63.9242,127.4739,26.29,86,93,13.2,overcast clouds,2022-04-30 19:34:45
228,Manica,FR,49.0,-1.1667,45.54,91,100,5.7,overcast clouds,2022-04-30 19:34:45
229,Fraserburgh,GB,57.6874,-2.0184,48.11,92,100,17.27,overcast clouds,2022-04-30 19:35:46
230,Korla,CN,41.7597,86.1469,58.51,29,5,3.67,clear sky,2022-04-30 19:35:44
231,Toamasina,MG,-18.1667,49.3833,72.1,86,0,3.42,clear sky,2022-04-30 19:35:47
232,Buala,SB,-8.145,159.5921,79.86,80,100,1.41,light rain,2022-04-30 19:35:47
233,Auki,SB,-8.7676,160.7034,78.67,84,100,0.83,overcast clouds,2022-04-30 19:35:48
234,Cockburn Town,TC,21.4612,-71.1419,82.36,57,40,17.27,scattered clouds,2022-04-30 19:35:48
235,Viedma,AR,-40.8135,-62.9967,60.84,30,81,12.57,broken clouds,2022-04-30 19:35:49
236,Mazara Del Vallo,IT,37.6641,12.588,61.54,80,100,5.08,overcast clouds,2022-04-30 19:35:50
237,Bengkulu,ID,-3.8004,102.2655,76.19,88,86,5.19,moderate rain,2022-04-30 19:35:50
238,Malakal,SS,9.5334,31.6605,88.09,43,23,6.17,few clouds,2022-04-30 19:35:51
239,Neryungri,RU,56.6709,124.6491,10.36,88,12,3.85,few clouds,2022-04-30 19:35:51
240,Xunchang,CN,28.4543,104.715,53.73,95,100,7.02,overcast clouds,2022-04-30 19:35:52
241,Anchorage,US,61.2181,-149.9003,47.28,62,0,3.44,clear sky,2022-04-30 19:35:08
242,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,28.99,74,40,6.71,scattered clouds,2022-04-30 19:35:27
243,Mahebourg,MU,-20.4081,57.7,77.29,83,40,6.91,scattered clouds,2022-04-30 19:35:52
244,Koungou,YT,-12.7336,45.2042,80.31,83,0,6.91,light rain,2022-04-30 19:35:53
245,Komsomolskiy,UZ,40.4272,71.7189,70.52,56,49,4.61,scattered clouds,2022-04-30 19:33:34
246,Meulaboh,ID,4.1363,96.1285,78.53,87,100,0.78,overcast clouds,2022-04-30 19:35:54
247,Senanga,ZM,-16.1167,23.2667,63.97,49,0,4.25,clear sky,2022-04-30 19:35:54
248,Zyryanka,RU,65.75,150.85,15.96,92,100,4.88,overcast clouds,2022-04-30 19:35:55
249,Fayaoue,NC,-20.65,166.5333,77.5,82,100,21.79,overcast clouds,2022-04-30 19:35:55
250,Honningsvag,NO,70.9821,25.9704,28.15,86,40,12.66,light snow,2022-04-30 19:35:56
251,Goderich,CA,43.7501,-81.7165,62.92,23,100,11.5,overcast clouds,2022-04-30 19:33:11
252,Chumikan,RU,54.7183,135.315,28.45,93,100,1.03,overcast clouds,2022-04-30 19:35:56
253,Peniche,PT,39.3558,-9.3811,63.1,73,4,11.97,clear sky,2022-04-30 19:35:57
254,Olinda,BR,-8.0089,-34.8553,82.13,69,40,9.22,scattered clouds,2022-04-30 19:35:58
255,Sindor,RU,62.8629,51.8905,22.84,91,27,3.67,scattered clouds,2022-04-30 19:35:58
